Name,"RA (J2000, deg)","Dec (J2000, deg)",objType,Ref,z,zType,zRef,Targeted,N_Observaciones
BRI 0241-0146,41.0076888,-1.5677378,QSO type1-BL-X,Millquas,4.01,S,2002ApJ 5..50....1C,False,3
GN20,189.2995354,62.3700278,Active galactic nuclei,eJWST,4.0553,UUN,2014A&A...569A..98T,True,5
GN20-MRS,189.2995354,62.3700278,Active galactic nuclei,eJWST,4.0553,UUN,2014A&A...569A..98T,True,1
TXS 1335-194,204.6088889,-19.7086112,QSO-NL-R-X,Millquas,4.1057,SUN,2023MNRAS.525.5831K,False,8
SDSS J094932.26+033531.7,147.3844458,3.5921605,QSO type1-BL-X,Millquas,4.107367,SLS,2016SDSSD.C...0000:,False,3
HSC2 J033234.35-274856.0,53.143164,-27.815571,QSO type1-BL,Millquas,4.1449,SLS,2010A&A...512A..12B,False,1521
SDSS J111008.61+024458.0,167.5358936,2.7494799,QSO type1-BL,Millquas,4.148,S,2020ApJS..250....8L,False,3
PSS J0133+0400,23.4180303,4.016624,QSO type1-BL-X,Millquas,4.170637,SLS,2016SDSSD.C...0000:,False,3
PSS J0209+0517,32.435924,5.2871457,QSO type1-BL-X,Millquas,4.183786,SLS,2016SDSSD.C...0000:,False,3
BR J2349-3712,357.3074287,-37.2164734,QSO type1-BL-R,Millquas,4.208,SUN,2001AJ....121.1799P,False,3
SDSS J111511.65+144512.0,168.7985534,14.7533593,QSO type1-BL,Millquas,4.259,S,2020ApJS..250....8L,False,2
ALMA-J081740.86+135138.2,124.4202625,13.8606194,Disk galaxies; High-redshift galaxies; Quasar-galaxy pairs,eJWST,4.26033,SUN,2020Natur.581..269N,True,1
Gaia 5001348270682792320,13.7702828,-37.6954917,X,Millquas,4.36,S,2023A&A..674A...41G,False,19
BR J0334-1612,53.5559667,-16.201475,QSO type1-BL-X,Millquas,4.363,SUN,2001AJ....121.1799P,False,3
SDSS J081740.52+135134.5,124.418869,13.859596,QSO type1-BL,Millquas,4.37,S,2020ApJS..250....8L,False,5
CDFS J033238.92-274243.69,53.162186,-27.712135,AGN,CDFS,4.3792,UUN,2013A&A...549A..63K,False,4
BRI 1335-0417,204.5142272,-4.5430492,QSO type1-BL,Millquas,4.396,S,2003A&A 3.891....1H,False,5
BRI 0103+0032,16.5801702,0.8064953,QSO type1-BL-X,Millquas,4.440187,SLS,2016SDSSD.C...0000:,False,3
COSM J100156.5+015218,150.4856303,1.8719271,QSO type1-BL,Millquas,4.45,S,2012ApJ 7.169....1S,False,1
DESI 39633446326240437,268.666877,65.2436464,QSO type1-BL,Millquas,4.56314,SLS,2023arXiv230606308D,False,33
WISE J224607.56-052634.9,341.5314787,-5.4431006,QSO type1-BL,Millquas,4.593,SUN,2015ApJ...805...90T,True,17
W2246-0526,341.5314583,-5.4430083,Infrared galaxies; Quasars; Starburst galaxies,eJWST,4.593,SUN,2015ApJ...805...90T,True,3
CDFS J033307.24-274755.44,53.280184,-27.798732,AGN,CDFS,4.635,SUN,2017ApJS..228....2L,True,16
SDSS J151155.98+040802.9,227.9832372,4.1341794,QSO type1-BL,Millquas,4.65,S,2020ApJS..250....8L,False,5
SDSS J134134.20+014157.6,205.3924955,1.6993466,QSO type1-BL,Millquas,4.65,S,2020ApJS..250....8L,False,5
SDSS J092303.52+024739.6,140.7646983,2.7943547,QSO type1-BL,Millquas,4.65,S,2020ApJS..250....8L,False,5
GS-9209,53.1081667,-27.8251222,Compact galaxies; Giant galaxies; High-redshift galaxies,eJWST,4.6583,SUN,2023A&A...678L...9D,True,2
COSM J100024.2+022509,150.1010259,2.4193948,QSO type1-BL-X,Millquas,4.66,SUN,2024A&A...685A..97P,False,7
BR 1202-0725,181.3463994,-7.7091006,QSO type1-BL-X,Millquas,4.6942,S1L,2023A&A...679A..41G,True,7
COSM J100106.4+015306,150.27693,1.885094,QSO type1-BL,Millquas,4.72,S,2012ApJ 7.169....1S,False,4
SDSS J033119.66-074143.1,52.8319307,-7.6953233,QSO type1-BL,Millquas,4.724262,SLS,2016SDSSD.C...0000:,False,5
CDFS J033229.31-275619.42,53.122139,-27.938728,AGN,CDFS,4.7555,SUN,2018ApJ...859...12G,False,2
GDS J03324-2756,53.1220833,-27.9388889,Seyfert 1,Veroncat,4.7555,SUN,2018ApJ...859...12G,False,2
GDS J033229.29-275619.5,53.122095,-27.938815,QSO type1-BL,Millquas,4.7555,SUN,2018ApJ...859...12G,True,7
SDSS J073231.28+325618.3,113.1303635,32.9384274,QSO type1-BL,Millquas,4.76,SUN,2016ApJ...829...33Y,True,1
SDSS J110041.96+580000.9,165.1747857,58.0002933,QSO type1-BL-R,Millquas,4.776865,SLS,2016SDSSD.C...0000:,True,1
SDSS J075907.57+180054.7,119.7815848,18.0152117,QSO type1-BL,Millquas,4.778,S,2020ApJS..250....8L,True,1
SDSS J085931.29+252019.5,134.8803958,25.3387633,QSO type1-BL,Millquas,4.787401,SLS,2016SDSSD.C...0000:,True,1
SDSS J162045.64+520246.6,245.1901463,52.0462876,QSO type1-BL,Millquas,4.79,SUN,2016ApJ...829...33Y,True,1
SDSS J113415.21+392826.0,173.5633804,39.4738967,QSO type1-BL,Millquas,4.795,S,2020ApJS..250....8L,True,1
SDSS J110247.28+663519.2,165.6970044,66.58869,QSO type1-BL,Millquas,4.80606,SLS,2016SDSSD.C...0000:,True,1
SDSS J132825.16+444500.2,202.1048718,44.7500663,QSO type1-BL,Millquas,4.81,S,2020ApJS..250....8L,True,1
SDSS J083122.57+404623.3,127.8440651,40.7731794,QSO type1-BL,Millquas,4.82,S,2020ApJS..250....8L,True,1
SDSS J153422.74+571140.5,233.594782,57.1945838,QSO type1-BL,Millquas,4.82,S,2020ApJS..250....8L,True,1
SDSS J124510.13+434837.9,191.292221,43.8105346,QSO type1-BL,Millquas,4.82,S,2020ApJS..250....8L,True,1
SDSS J145805.99+332723.0,224.5249896,33.4564077,QSO type1-BL,Millquas,4.83,S,2020ApJS..250....8L,True,1
SDSS J105005.11+462735.5,162.5213133,46.4598651,QSO type1-BL,Millquas,4.844,S,2020ApJS..250....8L,True,1
SDSS J134243.46+583850.0,205.6811204,58.6472409,QSO type1-BL,Millquas,4.859754,SLS,2016SDSSD.C...0000:,True,1
SDSS J094108.35+594725.7,145.2848403,59.7904835,QSO type1-BL,Millquas,4.861,S,2020ApJS..250....8L,True,1
SDSS J080715.11+132805.1,121.8129869,13.4681032,QSO type1-BL,Millquas,4.87,S,2020ApJS..250....8L,True,1
SDSS J073103.12+445949.4,112.7630545,44.9970638,QSO type1-BL,Millquas,4.98,S,2020ApJS..250....8L,True,4
J1148-18404,177.0579583,52.8628028,Active galactic nuclei,eJWST,5.011,S1L,2024ApJ...963..129M,True,2
J0148-4214,27.1387083,5.9972333,Active galactic nuclei,eJWST,5.019,S1L,2024ApJ...963..129M,True,2
SDSS J002526.84-014532.5,6.3618137,-1.7590342,QSO type1-BL,Millquas,5.06,S,2020ApJS..250....8L,False,2
GN-15498,189.2855417,62.2807833,Active galactic nuclei; Emission line galaxies; Quasars,eJWST,5.086,SLS,2024Natur.635..311X,True,2
B01.174,189.1998334,62.1614723,QSO type1-BL-X,Millquas,5.19,PSE,2018MNRAS.478.3740A,False,58
GOODS-N-4014,189.300125,62.2120444,Active galactic nuclei,eJWST,5.228,S1L,2024ApJ...963..129M,True,2
GN-12839,189.3442788,62.2633639,Active galactic nuclei; Emission line galaxies; Quasars,eJWST,5.241,S1L,2024ApJ...963..129M,True,2
CEERS_02782,214.8234583,52.8302778,Active galactic nuclei,eJWST,5.25,SUN,2024ApJ...963....9M,True,2
AZTEC-3,150.0862533,2.588975,High-redshift galaxies; Starburst galaxies; Ultraluminous infrared galaxies,eJWST,5.29795,UUN,2016ApJ...832..151P,True,6
COSM J100051.6+023457,150.21497,2.582674,QSO type1-BL-X,Millquas,5.31,SUN,2024A&A...685A..97P,False,15
SDSS J134040.24+281328.1,205.167677,28.224488,QSO type1-BL,Millquas,5.339,S,2020ApJS..250....8L,True,4
GN-16813,189.1792917,62.2925333,Active galactic nuclei; Emission line galaxies; Quasars,eJWST,5.356,SUN,2015ApJ...815...57U,True,2
