plate,fiberid,z,T_e,N_e,chi2,chi2_red,dof,success,hit_bound
528.0,242.0,0.2170588,24657.131887230287,2268.093597280226,0.006637879198230644,0.006637879198230644,1,True,False
741.0,465.0,0.1744779,46151.138680798824,1020.6878954254772,1.1660700483513617,1.1660700483513617,1,True,False
883.0,18.0,0.08296812,35706.77755602584,718.3935984932309,0.20444812599423848,0.20444812599423848,1,True,False
883.0,320.0,0.1773402,35705.61645543942,1114.387332339587,0.3083722913367091,0.3083722913367091,1,True,False
2154.0,589.0,0.1125644,22701.65590556168,1812.5893558385706,0.05071865149632252,0.05071865149632252,1,True,False
525.0,276.0,0.1396436,21662.207701908246,399.18496576427964,0.007560557970872273,0.007560557970872273,1,True,False
595.0,479.0,0.2228534,34455.07717293623,798.8811845650043,0.5912936079986083,0.5912936079986083,1,True,False
667.0,497.0,0.2219165,18528.43498589818,656.7481917202944,4.452875291492544,4.452875291492544,1,True,False
1220.0,539.0,0.03405293,18098.61978731075,1137.0142163341227,0.07115704435552574,0.07115704435552574,1,True,False
1306.0,58.0,0.142955,26036.84958714166,339.0737837370547,0.13477092453937944,0.13477092453937944,1,True,False
1306.0,62.0,0.2982477,17649.12123399572,418.6903211375344,1.2609382645100666,1.2609382645100666,1,True,False
1810.0,293.0,0.08811498,18413.126052412994,1582.7344351107297,2.63897447369137,2.63897447369137,1,True,False
1810.0,429.0,0.1822232,13426.75782332182,746.0799347441078,1.381678333455957,1.381678333455957,1,True,False
2153.0,362.0,0.2115779,21584.95665331368,617.7690033927756,0.1979011137758994,0.1979011137758994,1,True,False
2153.0,379.0,0.200623,21353.97343045104,309.7473653388366,0.01577146937185794,0.01577146937185794,1,True,False
499.0,192.0,0.1327659,12208.60588872975,433.080430639444,4.970497411806206,4.970497411806206,1,True,False
499.0,338.0,0.2072243,19411.864683134463,547.2911242320306,0.04523224232262017,0.04523224232262017,1,True,False
1435.0,158.0,0.1199272,19165.12697962808,549.6882754904873,0.22286824415572754,0.22286824415572754,1,True,False
1435.0,194.0,0.253374,17609.38260086943,2475.749318690075,4.92137502240171,4.92137502240171,1,True,False
1677.0,129.0,0.09925611,31748.722524515604,956.607596487506,2.0293810403292243,2.0293810403292243,1,True,False
2342.0,539.0,0.2063779,30004.508208308805,855.5480899228754,1.3463836757354821,1.3463836757354821,1,True,False
300.0,309.0,0.07327056,36573.080990702714,1402.4726143172106,4.332923617883316,4.332923617883316,1,True,False
373.0,259.0,0.09807353,21289.145664331325,750.0142789062498,0.10720258435267231,0.10720258435267231,1,True,False
374.0,142.0,0.09911174,29038.266721245916,1964.4915110266227,0.07389150552601037,0.07389150552601037,1,True,False
483.0,580.0,0.1734871,18828.499779633894,378.33014135276403,3.005938905463168,3.005938905463168,1,True,False
550.0,535.0,0.03919747,29448.186621087447,313.7174476907883,1.4731323207462361,1.4731323207462361,1,True,False
820.0,600.0,0.09815171,32546.766666981126,1096.4001172697754,2.783212668426182,2.783212668426182,1,True,False
1170.0,300.0,0.07159909,27421.012490362842,436.4213414184721,0.686221715610163,0.686221715610163,1,True,False
1170.0,398.0,0.0440169,46748.21184272883,1300.9163557671793,0.475866544522287,0.475866544522287,1,True,False
1628.0,172.0,0.1038685,36958.77442757092,1153.3015851028374,3.114423023661876,3.114423023661876,1,True,False
1628.0,378.0,0.2530025,25380.613442945294,1025.8184812823115,1.6463448187075362,1.6463448187075362,1,True,False
2037.0,114.0,0.2268893,26316.589911365812,274.6552922124347,2.2287063571133636,2.2287063571133636,1,True,False
