#Table1
plate,fiberid,mjd,z,zwarning,oiii_4363_flux,oiii_4363_flux_err,oiii_5007_flux,oiii_5007_flux_err,oiii_4959_flux,oiii_4959_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,nii_6548_flux,nii_6548_flux_err,nii_6584_flux,nii_6584_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err
528,242,52022,0.2170588,0,12.82961,2.477798,331.0607,3.490734,100.2795,2.64893,17.45586,2.405056,21.13637,2.86527,31.93336,0.9875958,96.31838,2.978814,38.01946,4.488113,54.27054,4.637905
528,342,52022,0.3593829,0,17.85241,2.707066,721.2928,4.001544,224.0772,2.341908,41.91462,4.190652,44.58185,4.568802,57.9028,1.613887,174.6482,4.867852,135.9994,3.979656,57.9817,3.823326
596,261,52370,0.2179283,0,63.51908,6.757922,838.4658,9.896169,259.0193,6.918484,76.01402,6.407341,69.10867,6.491469,163.6449,3.578624,493.5906,10.79395,172.3222,14.80536,86.22852,14.55337
741,465,52261,0.1744779,0,14.03081,2.404044,203.5003,4.094958,57.70501,4.286215,19.02688,3.021201,19.91237,2.342257,40.06053,1.143304,120.8318,3.448466,34.67881,4.165555,29.48521,3.924393
883,18,52430,0.08296812,0,118.8088,9.353037,2080.269,20.35026,618.8597,13.03681,206.4745,10.70518,182.4171,10.02884,580.3302,7.285789,1750.41,21.9756,283.6551,22.6035,251.5495,22.6306
883,320,52430,0.1773402,0,373.39,15.56393,6584.295,41.25397,1887.896,25.50801,83.08324,12.27112,87.21336,11.62122,265.8901,9.684689,801.9861,29.21122,402.9142,31.44518,410.0049,32.759
948,454,52428,0.07118206,0,118.5067,5.98746,3052.65,20.93682,997.1968,10.8319,336.3961,6.459006,322.532,6.195473,350.8323,4.084329,1058.191,12.31926,633.0475,20.20936,345.0973,19.05297
2022,364,53827,0.06355339,0,61.08572,5.270863,1145.636,12.36663,347.2349,7.58287,178.1419,6.210967,149.7326,5.78252,234.8726,4.167515,708.4299,12.57018,157.5888,9.593538,234.6435,10.01114
2154,589,54539,0.1125644,0,44.05411,3.759342,1272.01,12.04543,386.9152,5.986577,93.49039,3.991373,109.3644,3.884826,187.3233,2.263146,565.0103,6.826165,86.71407,8.073311,112.5156,8.575845
2155,385,53820,0.1841746,0,40.06941,3.01805,489.2463,5.628727,141.0204,4.362737,57.43416,3.4396,52.199,3.959792,96.71451,2.221724,291.7133,6.701225,61.80685,5.61561,45.01559,5.61247
525,276,52295,0.1396436,0,47.24516,3.110061,1445.582,10.65069,469.2848,5.671118,57.75056,3.123627,46.74414,2.734744,113.5366,1.541274,342.4526,4.648832,156.457,6.408008,134.7863,6.339899
595,479,52023,0.2228534,0,27.32983,3.857049,491.6113,6.727003,149.3051,4.444729,36.62753,3.634647,34.64186,3.644869,83.15337,1.92779,250.8098,5.814654,51.72593,6.83022,43.11806,6.836881
667,497,52163,0.2219165,0,13.87682,2.611534,551.598,5.104663,170.901,3.534357,37.96396,2.843144,39.82772,2.816594,50.13493,1.095797,151.2185,3.305173,69.23839,4.193185,58.31326,4.432478
668,24,52162,0.1666365,0,58.90734,4.121873,1575.61,11.51025,477.4252,6.659477,141.9008,3.774374,116.6213,4.440665,249.8585,2.575699,753.6308,7.768893,172.6585,10.47005,191.489,10.58859
738,159,52521,0.09322783,0,100.9801,6.951803,1575.034,14.59843,438.9045,9.013389,155.5163,8.015998,162.9733,7.738762,404.2604,5.746864,1219.343,17.33385,249.0639,19.31846,183.2956,20.17483
1220,539,52723,0.03405293,0,219.8544,6.431193,8909.875,62.41434,2995.104,25.64357,277.6479,6.563768,289.8105,6.552875,409.6474,4.095541,1235.591,12.35308,617.0933,15.00604,729.5375,15.62355
1306,58,52996,0.142955,0,21.18214,3.907235,515.2039,7.571348,154.7131,5.325346,60.5054,4.258708,46.1531,4.167021,178.2624,2.907539,537.6806,8.7698,53.65004,6.734885,46.3524,6.845454
1306,62,52996,0.2982477,0,41.62118,3.130355,1795.566,13.14839,570.8583,6.117463,73.36558,4.145712,55.39495,4.074164,126.8515,2.196516,382.6134,6.625191,142.5789,5.198321,129.3833,5.075764
1443,562,53055,0.1429512,0,15.93025,3.072817,763.918,7.894571,257.8243,4.749126,120.962,4.738958,105.6666,3.868361,109.6963,1.609534,330.8692,4.85472,152.987,7.1616,109.7682,6.549667
1444,9,53054,0.1503254,0,43.27048,5.07842,547.066,9.642165,161.8788,6.723773,117.6251,5.234603,105.535,4.8749,226.9862,3.311199,684.6428,9.98733,140.393,11.00545,152.7329,10.9035
1614,300,53120,0.09318852,0,47.94865,4.975948,646.4847,9.160909,198.4511,6.133325,63.04138,4.941842,61.50762,4.276499,138.7,2.558836,418.3512,7.71803,117.1925,10.20862,50.52096,9.811379
1810,293,53794,0.08811498,0,56.1395,4.609722,2221.791,15.2319,720.9828,8.207514,146.4282,4.881177,161.0859,4.95245,239.4579,2.376459,722.2605,7.167941,167.1853,11.0689,242.6189,11.35818
1810,429,53794,0.1822232,0,11.95497,2.343435,921.8067,6.634205,289.3003,4.624288,121.3115,3.541462,114.2567,3.598189,111.691,1.391225,336.8857,4.196251,142.1421,5.853127,159.8536,5.839523
1879,395,54478,0.2021295,0,33.92426,3.537638,2362.153,12.68159,780.2493,7.16763,90.44497,5.381871,85.31747,5.238967,116.3373,2.528944,350.9001,7.62787,163.4293,8.988659,264.2835,9.493248
2020,51,53431,0.0435284,0,168.0977,13.47061,8062.335,49.11316,2246.541,25.19586,529.2684,18.77687,600.6147,18.69456,1213.59,17.50808,3660.467,52.80836,978.4625,31.58405,324.067,29.63077
2089,161,53498,0.1011675,0,19.869,2.793741,1164.241,7.27528,377.4007,4.762854,191.6179,4.025624,185.4687,3.62799,179.4819,1.660356,541.3589,5.008012,230.3669,8.141631,168.7902,7.996922
2089,364,53498,0.05354379,0,110.815,3.92751,1796.153,11.6025,572.1196,6.349701,358.151,5.056433,298.0561,4.709703,571.0562,3.675532,1722.437,11.08624,808.1098,11.45148,425.0171,10.13069
2089,463,53498,0.1472681,0,27.5386,1.863163,876.8011,6.193765,281.9651,3.959405,63.69827,2.258363,69.82663,2.768961,98.90781,1.042817,298.3288,3.145373,79.40113,3.259907,73.02489,3.2479
2153,362,54212,0.2115779,0,23.57766,2.667714,733.0226,6.169148,226.8052,3.788368,52.77781,3.123686,47.9811,3.026801,92.93742,1.775256,280.3207,5.354576,69.60406,4.469662,64.33968,4.468814
2153,379,54212,0.200623,0,16.29689,2.21749,513.8016,5.079461,161.2665,3.450078,39.63848,2.682301,30.74793,2.414018,30.48463,1.066573,91.9487,3.217028,68.4138,3.67518,56.39656,3.563423
309,116,51994,0.1326886,0,35.67101,3.284985,718.6002,6.349014,204.5059,4.15869,52.45206,5.135286,65.09084,3.395719,131.0377,1.785791,395.24,5.386352,77.67108,6.207187,66.65743,6.185618
